cbsa1_name,cbsa2_name,cbsa1,cbsa2,raceDistance,incomeDistance,geographicDistance,scenesDistance,populationDistance,employmentDistance,bachelorDistance,frequencyDistance,frequencyCosine,categoriesJaccard,votingDistance
Detroit,New York,19820,35620,0.04624825734251112,21154.0,808313.8914111588,0.13343236337504036,15748429.0,0.022080862956994962,5.355387233567683,28696.449135738032,0.9324216422515874,0.760548523206751,0.10417118009309223
Charlotte,New York,16740,35620,0.02653311380115341,17433.0,868790.5226395583,0.12202224691207661,17480141.0,0.024543938760146822,44.04496678589678,31821.523266493703,0.9103696551736441,0.707414297103375,0.1558208299395476
Chicago,Detroit,16980,19820,0.0272888623474313,12631.0,396197.1914840886,0.05457676867447901,5226461.0,0.04220611713489042,12.953019843197119,11306.00831416641,0.9742697063907134,0.8012492901760363,0.1224997315508648
Dallas,Washington,19100,47900,0.01255082133243361,36405.0,1869673.808761689,0.09703576794128056,1252225.0,0.020086608258749306,19.133161512027492,6318.693219329452,0.964179394762661,0.7907563025210084,0.29680033276808404
Dallas,Orlando,19100,36740,0.0009773659006599659,11847.0,1579311.8319222226,0.060420925115476184,4964011.0,0.04325403488684498,0.5476895518022928,10599.496969196227,0.9751289557176499,0.7822464808962941,0.04264845677454476
Chicago,Las Vegas,16980,29820,0.012148135396970365,15176.0,2410903.833851747,0.059644192458414076,7353041.0,0.030525850903655116,,15184.705002073633,0.9666683035158554,0.7353276353276353,NaN
Chicago,Phoenix,16980,38060,0.010130357506873976,5152.0,2325702.33392404,0.06152047884358039,4772670.0,0.030058772389370048,43.37032600225631,10744.378297509818,0.9638125155434519,0.8119419642857143,0.1559800521217528
Phoenix,Riverside,38060,40140,0.051939005262316276,1106.0,404585.42825794325,0.06776722878217956,245993.0,0.024807909866313316,18.892696577667678,3046.2485125150247,0.9683710520504453,0.7903699354081033,0.033547970860351106
Dallas,Phoenix,19100,38060,0.011092517955793496,3463.0,1409458.958379355,0.056740986625818716,2791555.0,0.053069804446326696,39.39477683093975,7307.690538056466,0.9818272548251636,0.806070826306914,0.0027461577740955923
Dallas,Denver,19100,19740,0.025024734002439663,13522.0,1018794.7947140161,0.06962762393013806,4673566.0,0.02537425666442661,18.8184501526234,10127.198082391793,0.9657203793587701,0.7821022727272727,0.11484524852511901
Austin,New York,12420,35620,0.009434373351957886,671.0,2439562.348470976,0.11694606248659128,17857099.0,0.06368092389336333,36.339756791213105,32127.799815735903,0.92026515797699,0.727369259357579,0.02456995792837391
San Diego,San Francisco,41740,41860,0.02211772265414999,32341.0,724717.4515563532,0.0800464867002504,1450374.0,0.009025590367076397,,3251.829331314914,0.9748230435207123,0.783744557329463,0.1862742697612938
Las Vegas,Miami,29820,33100,0.02166637746889095,826.0,3464662.185385913,0.035134767288177,3872872.0,0.0033010513266836794,,8927.45389234803,0.9624456036572051,0.7410817031070196,NaN
Chicago,Denver,16980,19740,0.012090951631821905,11833.0,1457287.3464426363,0.050392093433027745,6654681.0,0.04838528872138326,14.842900981306833,13224.124356644565,0.9695685221215873,0.7937765205091938,0.04388096137072939
Dallas,Las Vegas,19100,29820,0.002333483703414632,13487.0,1691248.9708385943,0.05944476666541549,5371926.0,0.053536882960611765,,12003.481494966367,0.9693354972967025,0.7402484830973707,NaN
Chicago,San Francisco,16980,41860,0.03451108032739268,44228.0,2949166.5217190688,0.13838481510409784,4869494.0,0.0026488837451638103,16.13213124903266,11286.53449912771,0.9558172837628893,0.7968923418423973,0.13636608477971068
Chicago,Philadelphia,16980,37980,0.012625132859670572,468.0,1070900.6180072774,0.07575276706011891,3373451.0,0.010316553762032443,20.215538967593965,8502.57602141845,0.9747732343223328,0.8211200891613263,0.02364167854945698
Phoenix,San Diego,38060,41740,0.008343425472582345,17039.0,439721.1167561904,0.09513496871582915,1547198.0,0.02368206576745746,,3831.250187601953,0.9658278259113106,0.790008713331397,0.1060718671401697
Boston,Los Angeles,14460,31080,0.13553776653074046,18012.0,4156016.26985795,0.07213245157707404,8259366.0,0.039722258372494657,,15817.917720104628,0.9422607541111324,0.7837910608508347,0.007718430420850408
Chicago,Tampa,16980,45300,0.005773686301954428,17890.0,1588028.577080809,0.07574352697004867,6443227.0,0.06182250993922522,5.017089464893935,12748.699933718732,0.9582841712190597,0.8026018099547512,0.17637698661760598
Atlanta,Charlotte,12060,16740,0.017034788705587216,6448.0,366015.0527040316,0.03847788992979361,3429486.0,0.00022560871467502963,1.3649009863715094,8002.96057718642,0.9899950459100334,0.7679475722371165,0.07505134502545296
